,store,sido_gu,address,phone
549,마산터미널점,경남 창원시 마산회원구,,055-251-5698
550,세종로점,서울 종로구,,02-720-5582
551,광장점,서울 광진구,,070-4706-0293
552,청주하복대점,충북 청주시 흥덕구,,043-234-4069
553,수원역점,경기 수원시 팔달구,,031-257-3313
554,종로코리안리빌딩점,서울 종로구,,070-4733-4828
555,구반포역점,서울 서초구,,02-537-9386
556,성남터미널점,경기 성남시 분당구,,031-725-1004
557,합정역점,서울 마포구,,02-6204-1234
558,부산달맞이점,부산 해운대구,,051-731-3410
559,신흥역점,경기 성남시 수정구,,031-626-6140
560,아주대점,경기 수원시 영통구,,031-211-2884
561,신림점,서울 관악구,,02-877-0019
562,신논현역점,서울 강남구,,02-545-6077
563,태평로점,서울 중구,,02-755-7795
564,이태원점,서울 용산구,,02-749-8752
565,부산서면본점,부산 부산진구,,051-819-9117
566,신촌점,서울 서대문구,,02-393-2004
